repository_name,date,clones,unique_visitors/cloners
CRAIG,2024-01-03,1,1
CRAIG,2024-01-04,3,2
CRAIG,2024-01-05,1,1
CRAIG,2024-01-06,1,1
CRAIG,2024-01-07,3,2
CRAIG,2024-01-08,8,7
CRAIG,2024-01-09,17,11
CRAIG,2024-01-10,20,11
CRAIG,2024-01-11,6,4
CRAIG,2024-01-12,7,6
CRAIG,2024-01-13,1,1
CRAIG,2024-01-14,3,2
CRAIG,2024-01-15,3,3
CRAIG,2024-01-16,17,14
