repository_name,site,views,unique_visitors/cloners
CRAIG,Google,41,11
CRAIG,github.com,40,6
CRAIG,ibm.webex.com,35,15
CRAIG,ibm.seismic.com,10,3
CRAIG,github.ibm.com,6,1
CRAIG,statics.teams.cdn.office.net,4,1
