repository_name,date,views,unique_visitors/cloners
CRAIG,2024-05-02,11,3
CRAIG,2024-05-03,34,12
CRAIG,2024-05-04,5,2
CRAIG,2024-05-06,18,8
CRAIG,2024-05-07,21,11
CRAIG,2024-05-08,28,3
CRAIG,2024-05-09,24,6
CRAIG,2024-05-10,84,15
CRAIG,2024-05-11,1,1
CRAIG,2024-05-12,9,1
CRAIG,2024-05-13,26,6
CRAIG,2024-05-14,15,8
CRAIG,2024-05-15,14,5
