repository_name,site,views,unique_visitors/cloners
CRAIG,Google,30,8
CRAIG,statics.teams.cdn.office.net,14,1
CRAIG,search.brave.com,5,1
CRAIG,github.com,4,3
CRAIG,Bing,2,2
