repository_name,site,views,unique_visitors/cloners
CRAIG,Google,13,9
CRAIG,github.com,12,3
CRAIG,ibm.webex.com,10,2
CRAIG,statics.teams.cdn.office.net,6,2
CRAIG,Bing,4,4
CRAIG,ibm.seismic.com,1,1
CRAIG,ibm.github.io,1,1
