repository_name,date,views,unique_visitors/cloners
CRAIG,2024-06-01,8,1
CRAIG,2024-06-03,24,3
CRAIG,2024-06-04,28,6
CRAIG,2024-06-05,10,4
CRAIG,2024-06-06,27,4
CRAIG,2024-06-07,4,3
CRAIG,2024-06-09,6,2
CRAIG,2024-06-10,17,5
CRAIG,2024-06-11,5,3
CRAIG,2024-06-12,23,5
CRAIG,2024-06-13,6,2
CRAIG,2024-06-14,8,3
