repository_name,date,views,unique_visitors/cloners
CRAIG,2025-03-12,19,17
CRAIG,2025-03-13,13,6
CRAIG,2025-03-15,1,1
CRAIG,2025-03-17,1,1
CRAIG,2025-03-18,4,4
CRAIG,2025-03-20,3,1
CRAIG,2025-03-21,1,1
CRAIG,2025-03-22,2,2
CRAIG,2025-03-23,65,4
CRAIG,2025-03-24,2,1
