repository_name,site,views,unique_visitors/cloners
CRAIG,Google,17,6
CRAIG,github.com,11,2
CRAIG,Bing,3,3
CRAIG,statics.teams.cdn.office.net,2,1
CRAIG,community.ibm.com,1,1
CRAIG,ibm.github.io,1,1
CRAIG,ibm.seismic.com,1,1
CRAIG,ibm.webex.com,1,1
