repository_name,date,views,unique_visitors/cloners
CRAIG,2024-03-29,6,3
CRAIG,2024-03-30,4,2
CRAIG,2024-03-31,3,2
CRAIG,2024-04-01,22,11
CRAIG,2024-04-02,26,6
CRAIG,2024-04-03,107,11
CRAIG,2024-04-04,18,5
CRAIG,2024-04-05,29,14
CRAIG,2024-04-06,6,3
CRAIG,2024-04-07,10,4
CRAIG,2024-04-08,18,7
CRAIG,2024-04-09,3,2
CRAIG,2024-04-10,37,16
CRAIG,2024-04-11,25,5
